Дата,Температура,Осадки,Давление,Ветер,Скорость ветра
01.01.2023,"0,7","15,2",748,ЮВ,"4,2"
02.01.2023,"0,4","4,6",751,В,"4,7"
03.01.2023,"-1,9","1,4",747,С,"2,4"
04.01.2023,"-7,7","0,2",752,З,"4,7"
05.01.2023,"-3,6",0,755,ЮЗ,"6,9"
06.01.2023,"-6,9",0,758,Ю,"8,7"
07.01.2023,"-7,9",0,755,З,"6,2"
08.01.2023,"-8,6",0,752,СЗ,"6,9"
09.01.2023,"-6,3",0,752,СЗ,"8,1"
10.01.2023,"-10,9","1,3",749,СЗ,"7,2"
11.01.2023,"-6,5","2,2",750,З,"5,3"
12.01.2023,"-4,2","3,5",750,СЗ,"3,9"
13.01.2023,"-2,9","1,7",753,З,"2,8"
14.01.2023,"-4,8","7,2",757,СЗ,"2,9"
15.01.2023,"-6,6",1,755,З,"4,5"
16.01.2023,"-8,7",2,756,С,"4,9"
17.01.2023,"-10,8",0,758,В,"7,7"
18.01.2023,"-13,5",0,761,В,"4,8"
19.01.2023,"-13,4",0,762,ЮВ,"6,9"
20.01.2023,"-12,4",0,761,Ю,"5,7"
21.01.2023,"-13,2",0,762,З,6
22.01.2023,"-14,3",0,759,З,"6,6"
23.01.2023,"-9,4",0,760,ЮЗ,"4,7"
24.01.2023,-7,6,763,Ю,"4,9"
25.01.2023,"-1,5",0,766,Ю,"7,5"
26.01.2023,"-1,6",0,763,ЮВ,"4,6"
27.01.2023,"0,4","10,6",760,Ю,"7,1"
28.01.2023,"0,1","4,5",757,З,"5,9"
29.01.2023,"-1,8","0,6",755,Ю,"4,6"
30.01.2023,"1,1","0,8",756,ЮВ,"5,9"
31.01.2023,"1,6","4,4",760,ЮВ,"6,3"
01.02.2023,"-6,3","3,1",757,В,"6,2"
02.02.2023,"-3,4",4,752,С,"7,5"
03.02.2023,"-0,3","1,8",748,СВ,"6,4"
04.02.2023,"-6,3","0,2",746,СЗ,"4,3"
05.02.2023,-2,2,747,СЗ,"6,5"
06.02.2023,"-0,5","2,6",750,СЗ,"8,9"
07.02.2023,"0,5","9,5",749,СЗ,"7,3"
08.02.2023,"-3,6","0,4",753,СЗ,"6,4"
09.02.2023,"-3,9","0,8",750,С,"6,1"
10.02.2023,-6,0,746,СЗ,"5,2"
11.02.2023,"-2,1",0,743,СЗ,"6,8"
12.02.2023,"-3,3",0,743,СЗ,"7,1"
13.02.2023,"-2,6","9,7",741,СЗ,"7,3"
